2019-01-24 15:21:41,824 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-29 15:39:22,535 [Worker-5: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-29 15:41:56,468 [Worker-1: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tecnova_Automatizacion:TareaTecnova:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Calidad\TareaTecnova\pom.xml.
2019-03-29 15:41:57,225 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-29 15:41:57,232 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-29 15:41:57,526 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-29 15:41:57,527 [Worker-9: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tecnova_Automatizacion:TareaTecnova:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Calidad\TareaTecnova\pom.xml.
2019-03-29 15:41:57,528 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-29 15:41:58,759 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-29 15:41:58,763 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-29 15:41:58,764 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-29 15:41:58,765 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-29 15:43:14,459 [Worker-6: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-29 15:44:23,240 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tecnova_Automation:Ambiente_Base:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Ambiente_Base\Ambiente_Base\pom.xml.
2019-03-29 15:44:23,418 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Consalud_Automatizacion:Ambiente_Base3:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Ambiente_Base\Ambiente_Base3\pom.xml.
2019-03-29 15:44:23,480 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tecnova_Automation_2:Ambiente_Base_2:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Ambiente_Base\Ambiente_Base_2\pom.xml.
2019-05-10 10:32:10,237 [Worker-3: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-05-10 10:32:14,801 [Worker-7: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tecnova_Automation:Ambiente_Base:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Ambiente_Base\Ambiente_Base\pom.xml.
2019-05-10 10:32:15,003 [Worker-7: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Consalud_Automatizacion:Ambiente_Base3:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Ambiente_Base\Ambiente_Base3\pom.xml.
2019-05-10 10:32:15,082 [Worker-7: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tecnova_Automation_2:Ambiente_Base_2:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Ambiente_Base\Ambiente_Base_2\pom.xml.
2019-05-10 10:32:15,159 [Worker-7: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Consalud_Automation:SucursalVirtual:0.0.1-SNAPSHOT @ C:\selenium\WorkSpaces_Automation\Ambiente_Base\SucursalVirtual\pom.xml.
2019-05-10 10:57:03,532 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-10 10:57:03,549 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-10 10:57:03,552 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-10 10:57:03,555 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-10 10:57:03,761 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-10 10:57:03,762 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-10 10:57:03,764 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-10 10:57:03,765 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-10 10:57:03,919 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
